,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,Original # Gadgets,Original CX depth,Original # CX,Original Rz depth,Original depth,Original # Rz,#phase_layers,#cnots_per_layer,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,60,tket,GENERATED,,50466,74888,996,51322,1000,0 days 00:00:17.983452000,1000,14611,14847,988,15599,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,61,tket,GENERATED,,49897,73795,998,50763,1000,0 days 00:00:18.819396000,1000,14568,14718,990,15558,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,62,tket,GENERATED,,50333,74657,997,51184,1000,0 days 00:00:18.716513000,1000,14746,14911,992,15738,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,63,tket,GENERATED,,50268,74458,996,51125,1000,0 days 00:00:18.894332000,1000,14680,14847,990,15670,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,64,tket,GENERATED,,49592,74499,995,50437,1000,0 days 00:00:18.314399000,1000,14494,14690,989,15483,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,65,tket,GENERATED,,49523,74559,998,50388,1000,0 days 00:00:19.044241000,1000,14450,14607,992,15442,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,66,tket,GENERATED,,49336,73914,998,50191,1000,0 days 00:00:17.867671000,1000,14488,14631,992,15480,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,67,tket,GENERATED,,50927,74350,998,51803,1000,0 days 00:00:18.134043000,1000,14704,14829,992,15696,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,68,tket,GENERATED,,50350,74924,997,51193,1000,0 days 00:00:19.180999000,1000,14647,14783,991,15638,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,69,tket,GENERATED,,50325,74193,995,51185,1000,0 days 00:00:18.347242000,1000,14583,14757,992,15575,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,70,tket,GENERATED,,50403,74951,995,51268,1000,0 days 00:00:17.766382000,1000,14645,14818,991,15636,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,71,tket,GENERATED,,50851,75202,995,51701,1000,0 days 00:00:17.741138000,1000,14678,14845,991,15669,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,72,tket,GENERATED,,50290,74662,994,51146,1000,0 days 00:00:19.287149000,1000,14757,14916,990,15747,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,73,tket,GENERATED,,50009,74118,997,50857,1000,0 days 00:00:18.690854000,1000,14572,14717,992,15564,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,74,tket,GENERATED,,50984,74798,996,51847,1000,0 days 00:00:18.881430000,1000,14695,14891,991,15686,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,75,tket,GENERATED,,50705,75464,994,51549,1000,0 days 00:00:19.713056000,1000,14665,14857,989,15654,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,76,tket,GENERATED,,50430,75141,997,51286,1000,0 days 00:00:19.666757000,1000,14745,14886,992,15737,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,77,tket,GENERATED,,50176,74334,997,51040,1000,0 days 00:00:19.041360000,1000,14612,14774,990,15602,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,78,tket,GENERATED,,49895,73672,997,50750,1000,0 days 00:00:18.062271000,1000,14615,14745,991,15606,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,79,tket,GENERATED,,50372,74358,997,51212,1000,0 days 00:00:18.200867000,1000,14753,14903,992,15745,1000,,,,gray,nash,count,0.09523809523809523,36q-square
0,0,steiner,GENERATED,1,26,70,1,27,1,0 days 00:00:02.747277000,1,30,30,1,31,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,1,steiner,GENERATED,1,21,50,1,22,1,0 days 00:00:02.411005000,1,26,26,1,27,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,2,steiner,GENERATED,1,24,67,1,25,1,0 days 00:00:02.576774000,1,40,40,1,41,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,3,steiner,GENERATED,1,45,70,1,46,1,0 days 00:00:02.568199000,1,36,36,1,37,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,4,steiner,GENERATED,1,22,56,1,23,1,0 days 00:00:02.757605000,1,48,48,1,49,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,5,steiner,GENERATED,1,41,70,1,42,1,0 days 00:00:02.214654000,1,22,22,1,23,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,6,steiner,GENERATED,1,24,48,1,25,1,0 days 00:00:02.365391000,1,32,32,1,33,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,7,steiner,GENERATED,1,23,46,1,24,1,0 days 00:00:02.238453000,1,30,30,1,31,1,,,,gray,nash,count,0.09523809523809523,36q-square
